year_month,direction,sex,age,estimate
2019-03,Arrivals,Female,45-49 years,202.532
2019-04,Arrivals,Female,45-49 years,197.41
2019-05,Arrivals,Female,45-49 years,193.768
2018-01,Arrivals,Male,45-49 years,300
2018-02,Arrivals,Male,45-49 years,248
2018-03,Arrivals,Male,45-49 years,257.75
2018-04,Arrivals,Male,45-49 years,206.664
2018-05,Arrivals,Male,45-49 years,230.414
2018-06,Arrivals,Male,45-49 years,223.846
2018-07,Arrivals,Male,45-49 years,296.534
2018-08,Arrivals,Male,45-49 years,276.698
2018-09,Arrivals,Male,45-49 years,321.036
2018-10,Arrivals,Male,45-49 years,321.004
2018-11,Arrivals,Male,45-49 years,339.77
2018-12,Arrivals,Male,45-49 years,420.08
2019-01,Arrivals,Male,45-49 years,375.924
2019-02,Arrivals,Male,45-49 years,284.318
2019-03,Arrivals,Male,45-49 years,282.442
2019-04,Arrivals,Male,45-49 years,228.85
2019-05,Arrivals,Male,45-49 years,271.904
2018-01,Arrivals,Female,50-54 years,180
2018-02,Arrivals,Female,50-54 years,119
2018-03,Arrivals,Female,50-54 years,131.872
2018-04,Arrivals,Female,50-54 years,103.686
2018-05,Arrivals,Female,50-54 years,130.54
2018-06,Arrivals,Female,50-54 years,141.28
2018-07,Arrivals,Female,50-54 years,157.25
2018-08,Arrivals,Female,50-54 years,140.306
2018-09,Arrivals,Female,50-54 years,155.518
2018-10,Arrivals,Female,50-54 years,197.832
2018-11,Arrivals,Female,50-54 years,225.746
2018-12,Arrivals,Female,50-54 years,284.41
2019-01,Arrivals,Female,50-54 years,236.79
2019-02,Arrivals,Female,50-54 years,171.3
2019-03,Arrivals,Female,50-54 years,153.386
2019-04,Arrivals,Female,50-54 years,136.474
2019-05,Arrivals,Female,50-54 years,154.668
2018-01,Arrivals,Male,50-54 years,176
2018-02,Arrivals,Male,50-54 years,155
2018-03,Arrivals,Male,50-54 years,157.112
2018-04,Arrivals,Male,50-54 years,136.102
2018-05,Arrivals,Male,50-54 years,149.414
2018-06,Arrivals,Male,50-54 years,135.47
2018-07,Arrivals,Male,50-54 years,163.778
2018-08,Arrivals,Male,50-54 years,197.218
2018-09,Arrivals,Male,50-54 years,168.79
2018-10,Arrivals,Male,50-54 years,213.814
2018-11,Arrivals,Male,50-54 years,248.31
2018-12,Arrivals,Male,50-54 years,282.662
2019-01,Arrivals,Male,50-54 years,210.014
2019-02,Arrivals,Male,50-54 years,169.086
2019-03,Arrivals,Male,50-54 years,167.236
2019-04,Arrivals,Male,50-54 years,132.726
2019-05,Arrivals,Male,50-54 years,150.406
2018-01,Arrivals,Female,55-59 years,142
2018-02,Arrivals,Female,55-59 years,115
2018-03,Arrivals,Female,55-59 years,149.77
2018-04,Arrivals,Female,55-59 years,127.976
2018-05,Arrivals,Female,55-59 years,150.998
2018-06,Arrivals,Female,55-59 years,126.966
2018-07,Arrivals,Female,55-59 years,143.282
2018-08,Arrivals,Female,55-59 years,166.14
2018-09,Arrivals,Female,55-59 years,161.782
2018-10,Arrivals,Female,55-59 years,200.638
2018-11,Arrivals,Female,55-59 years,245.66
2018-12,Arrivals,Female,55-59 years,287.212
2019-01,Arrivals,Female,55-59 years,192.994
2019-02,Arrivals,Female,55-59 years,173.066
2019-03,Arrivals,Female,55-59 years,179.958
2019-04,Arrivals,Female,55-59 years,135.69
2019-05,Arrivals,Female,55-59 years,154.786
2018-01,Arrivals,Male,55-59 years,142
2018-02,Arrivals,Male,55-59 years,122
2018-03,Arrivals,Male,55-59 years,138.362
2018-04,Arrivals,Male,55-59 years,109.504
2018-05,Arrivals,Male,55-59 years,131.014
2018-06,Arrivals,Male,55-59 years,116.702
2018-07,Arrivals,Male,55-59 years,134.468
2018-08,Arrivals,Male,55-59 years,146.01
2018-09,Arrivals,Male,55-59 years,149.48
2018-10,Arrivals,Male,55-59 years,178.16
2018-11,Arrivals,Male,55-59 years,234.446
2018-12,Arrivals,Male,55-59 years,238.938
2019-01,Arrivals,Male,55-59 years,176.188
2019-02,Arrivals,Male,55-59 years,149.658
2019-03,Arrivals,Male,55-59 years,146.046
2019-04,Arrivals,Male,55-59 years,115.302
2019-05,Arrivals,Male,55-59 years,138.258
2018-01,Arrivals,Female,60-64 years,122
2018-02,Arrivals,Female,60-64 years,100
2018-03,Arrivals,Female,60-64 years,153.302
2018-04,Arrivals,Female,60-64 years,125.122
2018-05,Arrivals,Female,60-64 years,133.948
2018-06,Arrivals,Female,60-64 years,119.596
2018-07,Arrivals,Female,60-64 years,122.064
2018-08,Arrivals,Female,60-64 years,142.28
2018-09,Arrivals,Female,60-64 years,164.776
2018-10,Arrivals,Female,60-64 years,219.248
2018-11,Arrivals,Female,60-64 years,244.376
2018-12,Arrivals,Female,60-64 years,250.29
2019-01,Arrivals,Female,60-64 years,175.32
2019-02,Arrivals,Female,60-64 years,152.106
2019-03,Arrivals,Female,60-64 years,157.378
2019-04,Arrivals,Female,60-64 years,126.634
2019-05,Arrivals,Female,60-64 years,129.288
2018-01,Arrivals,Male,60-64 years,93
2018-02,Arrivals,Male,60-64 years,103
2018-03,Arrivals,Male,60-64 years,135.566
2018-04,Arrivals,Male,60-64 years,112.218
2018-05,Arrivals,Male,60-64 years,121.072
2018-06,Arrivals,Male,60-64 years,109.746
2018-07,Arrivals,Male,60-64 years,114.15
2018-08,Arrivals,Male,60-64 years,125.772
2018-09,Arrivals,Male,60-64 years,148.638
2018-10,Arrivals,Male,60-64 years,182.588
2018-11,Arrivals,Male,60-64 years,221.448
2018-12,Arrivals,Male,60-64 years,245.272
2019-01,Arrivals,Male,60-64 years,148
2019-02,Arrivals,Male,60-64 years,140.858
2019-03,Arrivals,Male,60-64 years,133.686
2019-04,Arrivals,Male,60-64 years,102.862
2019-05,Arrivals,Male,60-64 years,120.01
2018-01,Arrivals,Female,65-69 years,69
2018-02,Arrivals,Female,65-69 years,60
2018-03,Arrivals,Female,65-69 years,71.864
2018-04,Arrivals,Female,65-69 years,55.282
2018-05,Arrivals,Female,65-69 years,72.26
2018-06,Arrivals,Female,65-69 years,70.176
2018-07,Arrivals,Female,65-69 years,61.656
2018-08,Arrivals,Female,65-69 years,74.396
2018-09,Arrivals,Female,65-69 years,96.58
2018-10,Arrivals,Female,65-69 years,130.08
2018-11,Arrivals,Female,65-69 years,165.36
2018-12,Arrivals,Female,65-69 years,163.51
2019-01,Arrivals,Female,65-69 years,104.268
2019-02,Arrivals,Female,65-69 years,101.174
2019-03,Arrivals,Female,65-69 years,101.326
2019-04,Arrivals,Female,65-69 years,78.028
2019-05,Arrivals,Female,65-69 years,76.356
2018-01,Arrivals,Male,65-69 years,77
2018-02,Arrivals,Male,65-69 years,56
2018-03,Arrivals,Male,65-69 years,76.888
2018-04,Arrivals,Male,65-69 years,71.13
2018-05,Arrivals,Male,65-69 years,75.196
2018-06,Arrivals,Male,65-69 years,84.478
2018-07,Arrivals,Male,65-69 years,71.654
2018-08,Arrivals,Male,65-69 years,96.732
2018-09,Arrivals,Male,65-69 years,97.734
2018-10,Arrivals,Male,65-69 years,147.358
2018-11,Arrivals,Male,65-69 years,178.314
2018-12,Arrivals,Male,65-69 years,170.298
2019-01,Arrivals,Male,65-69 years,111.166
2019-02,Arrivals,Male,65-69 years,96.218
2019-03,Arrivals,Male,65-69 years,93.99
2019-04,Arrivals,Male,65-69 years,80.432
2019-05,Arrivals,Male,65-69 years,85.738
2018-01,Arrivals,Female,70-74 years,45
2018-02,Arrivals,Female,70-74 years,29
2018-03,Arrivals,Female,70-74 years,25.074
2018-04,Arrivals,Female,70-74 years,34.684
2018-05,Arrivals,Female,70-74 years,33.904
2018-06,Arrivals,Female,70-74 years,27.64
2018-07,Arrivals,Female,70-74 years,26.878
2018-08,Arrivals,Female,70-74 years,39.406
2018-09,Arrivals,Female,70-74 years,42.48
2018-10,Arrivals,Female,70-74 years,73.83
2018-11,Arrivals,Female,70-74 years,98.162
2018-12,Arrivals,Female,70-74 years,88.184
2019-01,Arrivals,Female,70-74 years,52.284
2019-02,Arrivals,Female,70-74 years,52.938
2019-03,Arrivals,Female,70-74 years,42.058
2019-04,Arrivals,Female,70-74 years,32.234
2019-05,Arrivals,Female,70-74 years,33.248
2018-01,Arrivals,Male,70-74 years,49
2018-02,Arrivals,Male,70-74 years,34
2018-03,Arrivals,Male,70-74 years,30.032
2018-04,Arrivals,Male,70-74 years,21.208
2018-05,Arrivals,Male,70-74 years,43.154
2018-06,Arrivals,Male,70-74 years,39.422
2018-07,Arrivals,Male,70-74 years,32.356
2018-08,Arrivals,Male,70-74 years,38.806
2018-09,Arrivals,Male,70-74 years,41.688
2018-10,Arrivals,Male,70-74 years,83.828
2018-11,Arrivals,Male,70-74 years,102.918
2018-12,Arrivals,Male,70-74 years,96.416
2019-01,Arrivals,Male,70-74 years,64.52
2019-02,Arrivals,Male,70-74 years,54.542
2019-03,Arrivals,Male,70-74 years,50.872
2019-04,Arrivals,Male,70-74 years,32.002
2019-05,Arrivals,Male,70-74 years,38.77
2018-01,Arrivals,Female,75-79 years,23
2018-02,Arrivals,Female,75-79 years,18
2018-03,Arrivals,Female,75-79 years,15.342
2018-04,Arrivals,Female,75-79 years,20.752
2018-05,Arrivals,Female,75-79 years,20.43
2018-06,Arrivals,Female,75-79 years,12.38
2018-07,Arrivals,Female,75-79 years,14.39
2018-08,Arrivals,Female,75-79 years,20.366
2018-09,Arrivals,Female,75-79 years,27.42
2018-10,Arrivals,Female,75-79 years,31.932
2018-11,Arrivals,Female,75-79 years,38.418
2018-12,Arrivals,Female,75-79 years,51.44
2019-01,Arrivals,Female,75-79 years,30.688
2019-02,Arrivals,Female,75-79 years,26.62
2019-03,Arrivals,Female,75-79 years,23.544
2019-04,Arrivals,Female,75-79 years,16.558
2019-05,Arrivals,Female,75-79 years,16
2018-01,Arrivals,Male,75-79 years,20
2018-02,Arrivals,Male,75-79 years,18
2018-03,Arrivals,Male,75-79 years,19.462
2018-04,Arrivals,Male,75-79 years,17.33
2018-05,Arrivals,Male,75-79 years,17.456
2018-06,Arrivals,Male,75-79 years,21.702
2018-07,Arrivals,Male,75-79 years,11.824
2018-08,Arrivals,Male,75-79 years,17.344
2018-09,Arrivals,Male,75-79 years,22.454
2018-10,Arrivals,Male,75-79 years,35.006
2018-11,Arrivals,Male,75-79 years,40.948
2018-12,Arrivals,Male,75-79 years,45.632
2019-01,Arrivals,Male,75-79 years,27.66
2019-02,Arrivals,Male,75-79 years,25.388
2019-03,Arrivals,Male,75-79 years,24.608
2019-04,Arrivals,Male,75-79 years,15.752
2019-05,Arrivals,Male,75-79 years,15.264
2018-01,Arrivals,Female,80-84 years,9
2018-02,Arrivals,Female,80-84 years,15
2018-03,Arrivals,Female,80-84 years,11.066
2018-04,Arrivals,Female,80-84 years,7
2018-05,Arrivals,Female,80-84 years,10.858
2018-06,Arrivals,Female,80-84 years,9.32
2018-07,Arrivals,Female,80-84 years,4.916
2018-08,Arrivals,Female,80-84 years,8.546
2018-09,Arrivals,Female,80-84 years,9.48
2018-10,Arrivals,Female,80-84 years,19.39
2018-11,Arrivals,Female,80-84 years,24.318
2018-12,Arrivals,Female,80-84 years,26.432
2019-01,Arrivals,Female,80-84 years,14.764
2019-02,Arrivals,Female,80-84 years,17.416
2019-03,Arrivals,Female,80-84 years,13.534
2019-04,Arrivals,Female,80-84 years,7.124
2019-05,Arrivals,Female,80-84 years,9.038
2018-01,Arrivals,Male,80-84 years,13
2018-02,Arrivals,Male,80-84 years,10
2018-03,Arrivals,Male,80-84 years,6
2018-04,Arrivals,Male,80-84 years,11.52
2018-05,Arrivals,Male,80-84 years,8.374
2018-06,Arrivals,Male,80-84 years,10.308
2018-07,Arrivals,Male,80-84 years,3.158
2018-08,Arrivals,Male,80-84 years,11.102
2018-09,Arrivals,Male,80-84 years,14.964
2018-10,Arrivals,Male,80-84 years,18.214
2018-11,Arrivals,Male,80-84 years,20.154
2018-12,Arrivals,Male,80-84 years,24.426
2019-01,Arrivals,Male,80-84 years,17.414
2019-02,Arrivals,Male,80-84 years,14.918
2019-03,Arrivals,Male,80-84 years,12.246
2019-04,Arrivals,Male,80-84 years,6.286
2019-05,Arrivals,Male,80-84 years,8.124
2018-01,Arrivals,Female,85-89 years,5
2018-02,Arrivals,Female,85-89 years,8
2018-03,Arrivals,Female,85-89 years,3
2018-04,Arrivals,Female,85-89 years,2.188
2018-05,Arrivals,Female,85-89 years,2.772
2018-06,Arrivals,Female,85-89 years,2.768
2018-07,Arrivals,Female,85-89 years,2.696
2018-08,Arrivals,Female,85-89 years,6.8
2018-09,Arrivals,Female,85-89 years,6.72
2018-10,Arrivals,Female,85-89 years,5.33
2018-11,Arrivals,Female,85-89 years,12.924
2018-12,Arrivals,Female,85-89 years,10.572
2019-01,Arrivals,Female,85-89 years,8.8
2019-02,Arrivals,Female,85-89 years,3.826
2019-03,Arrivals,Female,85-89 years,4.76
2019-04,Arrivals,Female,85-89 years,2.978
2019-05,Arrivals,Female,85-89 years,5.034
2018-01,Arrivals,Male,85-89 years,1
2018-02,Arrivals,Male,85-89 years,5
2018-03,Arrivals,Male,85-89 years,4
2018-04,Arrivals,Male,85-89 years,4
2018-05,Arrivals,Male,85-89 years,5.178
2018-06,Arrivals,Male,85-89 years,0.208
2018-07,Arrivals,Male,85-89 years,0.738
2018-08,Arrivals,Male,85-89 years,1.282
2018-09,Arrivals,Male,85-89 years,5.342
2018-10,Arrivals,Male,85-89 years,3.57
2018-11,Arrivals,Male,85-89 years,5.4
2018-12,Arrivals,Male,85-89 years,7.094
2019-01,Arrivals,Male,85-89 years,4.086
2019-02,Arrivals,Male,85-89 years,2.924
2019-03,Arrivals,Male,85-89 years,3.346
2019-04,Arrivals,Male,85-89 years,1.83
2019-05,Arrivals,Male,85-89 years,2.32
2018-01,Arrivals,Female,90+ years,1
2018-03,Arrivals,Female,90+ years,3
2018-04,Arrivals,Female,90+ years,3
2018-05,Arrivals,Female,90+ years,1.08
2018-06,Arrivals,Female,90+ years,1
2018-08,Arrivals,Female,90+ years,1.42
2018-10,Arrivals,Female,90+ years,3.042
2018-11,Arrivals,Female,90+ years,2.774
2018-12,Arrivals,Female,90+ years,4.244
